"platform","user","text","post_url","sentiment","theme","archetype"
"TikTok","@nancy,ventu","ni Judas se atrevió a tanto 😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","practicidad","la amiga"
"TikTok","Nor","niños pero pongan a el papá al frente 😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","practicidad","la madre protectora"
"TikTok","Tigre","Ahora al revés dejen ala papá adentro 😁😁😁😁😁","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","familia","la madre moderna"
"TikTok","user940215","la traición señore","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","consejo","la madre moderna"
"TikTok","𝕯𝖎𝖆𝖓𝖆 𝕽𝖔𝖉𝖗í𝖌𝖚𝖊𝖟💓","jajajjaa la traición viene siempre de un ser Amado jajajajajajajajajajajajajajaja .... ❣️❣️❣️❣️","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","humor","la madre moderna"
"TikTok","cathaova","jajajaja. exijo intento 3, a ver si es la vencida 😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","practicidad","la madre moderna"
"TikTok","adrianaguzman897","🤣🤣🤣🤣 el Papá bien astuto no se lo esperaban los pequeños dejarlos con su mamá 🤣🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","familia","la madre moderna"
"TikTok","Christopher Sudy Duhart","entrando sacó una pequeña carcajada..🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","consejo","la madre protectora"
"TikTok","juanitajazmingonz","no pos traición 😁😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","nostalgia","la madre protectora"
"TikTok","Nery Caceres","Cero y van dos 🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","practicidad","la madre protectora"
"TikTok","Lupita padilla","ahora uno donde dejen al papa solo 🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","humor","la madre protectora"
"TikTok","Manuel Sierra","consejo de guerra para ese papá por traición 😂🥰😂🥰😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","practicidad","la hija"
"TikTok","Ana Maria","ay, me hizo el día, no otro de reír, lo he visto más de 10 veces","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","familia","la madre moderna"
"TikTok","julidani 💗","jajajjajajjaja😂😂😂😂😂😂 yo......igual tengo 3 hijas y un hijo....me identifique al 1000","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","consejo","la hija"
"TikTok","el lismi guatón","con ése papito para que quieres enemigos","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","practicidad","la hija"
"TikTok","MarcoC","que es esto soldado, recluta Pay, ha desonrado el pelotón","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","nostalgia","la madre moderna"
"TikTok","Mary Parra Contreras","jajajajJJ","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","nostalgia","la hija"
"TikTok","kary","eso es alta traición 🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","consejo","la amiga"
"TikTok","dayana","fayo otra vez ....va de nuevo","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","nostalgia","la madre moderna"
"TikTok","adrix","ni Judas se atrevió a tanto 😂😅","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","practicidad","la hija"
"TikTok","Hilton","jajajaja mori","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","humor","la madre moderna"
"TikTok","amarantho","😂🤣 jajaja muy bueno","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","humor","la madre moderna"
"TikTok","🇻🇪kary♉","jajajaja qué cruel 😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","consejo","la amiga"
"TikTok","Fernanda 💫","jajajajajajja","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","consejo","la amiga"
"TikTok","yenifer rodriguez 230","jajjaja 😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","nostalgia","la madre moderna"
"TikTok","Mar 🌊","jajajjaa","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","practicidad","la amiga"
"TikTok","Vero Esquer1992","jajajaja","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","practicidad","la madre protectora"
"TikTok","Noe Diaz","jajajajjaja","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","nostalgia","la madre moderna"
"TikTok","Milagros Andueza","jajajajajajajajajaja","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","practicidad","la hija"
"TikTok","Cristina","@Bea Florentin 😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","practicidad","la madre moderna"
"TikTok","Marcela Romero","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","nostalgia","la madre moderna"
"TikTok","Jade jazmín Bolaños cacho Rami","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","nostalgia","la madre moderna"
"TikTok","estephany salsavilca diaz","😅😅😅🤭","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","practicidad","la amiga"
"TikTok","ghost","😅😅😅","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","familia","la madre moderna"
"TikTok","fabyjimenez4","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","practicidad","la amiga"
"TikTok","xhivis","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","familia","la madre moderna"
"TikTok","YA@rEd","🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","humor","la madre protectora"
"TikTok","ANGELITA DE CIELOS 🙏","🤣🤣🤣🤣🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","humor","la madre protectora"
"TikTok","Isabella","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","practicidad","la hija"
"TikTok","Guzman Suarez Carolain","😂😂😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","humor","la amiga"
"TikTok","lizz Benavides","😅😅🤭","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","consejo","la madre moderna"
"TikTok","maryclaudia050674","😂😂😂😂😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","nostalgia","la madre moderna"
"TikTok","Milagros Andueza","🤣🤣🤣🤣🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","nostalgia","la madre moderna"
"TikTok","Gretchen","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","practicidad","la hija"
"TikTok","carmen leopoldina de mogollon","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","familia","la madre moderna"
"TikTok","Cris Mancilla","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","consejo","la hija"
"TikTok","HEINER💙","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","consejo","la madre moderna"
"TikTok","🔅Ivania🔅","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","familia","la hija"
"TikTok","crizz","😂😂😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","consejo","la madre moderna"
"TikTok","Pilar Cuevas Hernandez","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","nostalgia","la amiga"
"TikTok","Ruby Jurado","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","nostalgia","la amiga"
"TikTok","Josedomingo Serrano","😅😅😅😅😅😅","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","humor","la amiga"
"TikTok","Pedro Bastidas_89","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","practicidad","la amiga"
"TikTok","Rosa Enamorado","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","humor","la madre protectora"
"TikTok","xochitlvargas275","🤣🤣🤣🤣🤣🤭🤭🤭","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","humor","la hija"
"TikTok","Gelen Flores","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","nostalgia","la madre protectora"
"TikTok","Mirthaa","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","familia","la madre protectora"
"TikTok","vicky281523","🤣🤣🤣🤣🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","nostalgia","la hija"
"TikTok","ErnestoVictor743","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","practicidad","la amiga"
"TikTok","Huguito","🤣🤣🤣🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","nostalgia","la madre protectora"
"TikTok","Beny Garcia","🥰","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","humor","la hija"
"TikTok","alexa","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","consejo","la madre protectora"
"TikTok","Toma tu like 😂 👍","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","nostalgia","la madre moderna"
"TikTok","Blanca","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","familia","la madre protectora"
"TikTok","Ennovi","😂😂😂👌👌👌","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","familia","la madre moderna"
"TikTok","johanamartinez3423","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","consejo","la madre moderna"
"TikTok","VALLES M. Argenis R.","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","nostalgia","la amiga"
"TikTok","Flower","🤣🤣🤣🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","practicidad","la hija"
"TikTok","Karin.wendy_24","🤣🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","humor","la amiga"
"TikTok","rickyascoy4","🤣🤣🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","humor","la madre moderna"
"TikTok","guadalupemendezde11","🤣🤣🤣🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","familia","la amiga"
"TikTok","gaboquesaa","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","practicidad","la madre protectora"
"TikTok","vierja","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","practicidad","la madre moderna"
"TikTok","Rachel Marsu","😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","consejo","la hija"
"TikTok","Rodrigo Morales","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","practicidad","la hija"
"TikTok","Marianelly Dalis Rei","😂😂😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","practicidad","la madre protectora"
"TikTok","Luznan17","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","familia","la madre moderna"
"TikTok","gorda","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","nostalgia","la amiga"
"TikTok","RosyBlan","🤣😅😅🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","nostalgia","la amiga"
"TikTok","virginiamatiasloz","🥰😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","consejo","la madre moderna"
"TikTok","Sofia  Vinueza","😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","consejo","la madre protectora"
"TikTok","Rodríguez😊yicsimar🤭","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","humor","la madre moderna"
"TikTok","iris noelia ibañez","😂😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","familia","la madre protectora"
"TikTok","Flor🌸","😂😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","familia","la madre moderna"
"TikTok","zuly8807","🤣🤣🤣🤣🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","familia","la amiga"
"TikTok","Marcela Guadalupe","🤣😂😅","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","familia","la madre protectora"
"TikTok","Rubi Suarez","😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","humor","la madre moderna"
"TikTok","Miguel","😂😂😂😂😂😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","familia","la hija"
"TikTok","xime_granados1","😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","familia","la madre moderna"
"TikTok","MiryEspi","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","humor","la hija"
"TikTok","Luciana Ibarra","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","consejo","la hija"
"TikTok","@ndre 💕","🥰🥰🥰","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","familia","la madre protectora"
"TikTok","@ndre 💕","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","familia","la amiga"
"TikTok","Magda","🤣🤣🤣🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","nostalgia","la hija"
"TikTok","CarinsaDistribuidora","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","familia","la madre moderna"
"TikTok","mirybovi","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","familia","la amiga"
"TikTok","Alejandra Calix","😂😂🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","humor","la madre moderna"
"TikTok","margaritamartin110","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","practicidad","la amiga"
"TikTok","lisethortegaorteg","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","consejo","la madre moderna"
"TikTok","elizambrano.12","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","familia","la amiga"
"TikTok","Minerva","🤣🤣🤣😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","familia","la madre protectora"
"TikTok","Moto taller ""los iguanos ""","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","humor","la amiga"
"TikTok","mari","🤣🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","humor","la madre protectora"
"TikTok","Sheila Sanchez","🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","practicidad","la madre moderna"
"TikTok","Pamela Bermudez","@Victor Corral","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","nostalgia","la madre protectora"
"TikTok","rickf15","😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","nostalgia","la madre moderna"
"TikTok","Grevelo18","😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","familia","la amiga"
"TikTok","Anna.•","😂😂😂🤭🤭🤭","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","consejo","la madre moderna"
"TikTok","la polita 😘","🥰🥰🥰","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","consejo","la madre protectora"
"TikTok","Hans","😂😂😂😂😂😂Traidor jajajajja","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","nostalgia","la hija"
"TikTok","la.mismadeayer","Ni Judas se atrevió a tanto😡","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","nostalgia","la hija"
